segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_tekisei+kyakushitsu+tenkai_kigo_code,kyori_tekisei,kyakushitsu,tenkai_kigo_code,3,365,77.92,6.44,70.62,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+kyakushitsu+tenkai_kigo_code,kyori_kubun,kyakushitsu,tenkai_kigo_code,3,352,78.37,8.31,68.97,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+kyori_tekisei+tenkai_kigo_code,kyori_kubun,kyori_tekisei,tenkai_kigo_code,3,443,68.17,1.3,66.7,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+omo_tekisei_code+kyori_tekisei,kyori_kubun,omo_tekisei_code,kyori_tekisei,3,476,68.51,6.86,60.75,False
KEIBAJO_SURFACE_07_芝_OP重賞,omo_tekisei_code+ls_shisu_juni+kyori_tekisei,omo_tekisei_code,ls_shisu_juni,kyori_tekisei,3,410,65.31,5.69,58.88,False
KEIBAJO_SURFACE_07_芝_OP重賞,omo_tekisei_code+kyori_tekisei+tenkai_kigo_code,omo_tekisei_code,kyori_tekisei,tenkai_kigo_code,3,476,62.12,5.75,55.62,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+omo_tekisei_code+tenkai_kigo_code,kyori_kubun,omo_tekisei_code,tenkai_kigo_code,3,456,64.54,8.43,54.99,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+omo_tekisei_code+ls_shisu_juni,kyori_kubun,omo_tekisei_code,ls_shisu_juni,3,386,64.49,10.96,52.09,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+ls_shisu_juni+tenkai_kigo_code,kyori_kubun,ls_shisu_juni,tenkai_kigo_code,3,420,72.02,17.85,51.82,False
KEIBAJO_SURFACE_07_芝_OP重賞,ls_shisu_juni+kyori_tekisei+tenkai_kigo_code,ls_shisu_juni,kyori_tekisei,tenkai_kigo_code,3,439,69.66,15.78,51.81,False
KEIBAJO_SURFACE_07_芝_OP重賞,kyori_kubun+kyori_tekisei+kyori_tekisei_2,kyori_kubun,kyori_tekisei,kyori_tekisei_2,3,412,63.68,12.31,49.75,False
KEIBAJO_SURFACE_07_芝_OP重賞,omo_tekisei_code+kyakushitsu+tenkai_kigo_code,omo_tekisei_code,kyakushitsu,tenkai_kigo_code,3,488,61.04,11.44,48.09,False
KEIBAJO_SURFACE_07_芝_OP重賞,omo_tekisei_code+ls_shisu_juni+kyakushitsu,omo_tekisei_code,ls_shisu_juni,kyakushitsu,3,378,62.16,16.43,43.57,False
KEIBAJO_SURFACE_07_芝_OP重賞,ls_shisu_juni+kyakushitsu+tenkai_kigo_code,ls_shisu_juni,kyakushitsu,tenkai_kigo_code,3,453,63.38,29.54,29.95,False
