phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,2|00|2,558,558,20.61,72.49,77.91,558,51.61,82.37,90.9,85.06,89.11
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,2|00|5,1017,1017,20.65,69.57,74.1,1017,52.51,83.32,89.6,80.28,86.29
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|2,538,538,21.56,75.61,78.58,538,52.04,81.41,89.41,81.37,86.49
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,2|中距離|00,686,686,19.24,67.08,73.79,686,50.44,82.81,89.23,83.65,88.11
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|中距離|5,651,651,19.82,67.54,73.78,651,51.0,83.7,88.35,82.95,87.92
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,2|H|00,552,552,17.93,62.34,69.95,552,48.73,81.05,87.69,85.08,88.56
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+joshodo_code,2|5|3,608,608,16.94,62.02,66.65,608,48.68,82.6,86.68,82.35,86.71
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,5|00|1,697,697,20.95,78.46,79.0,697,49.64,82.98,86.59,80.28,86.29
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+da_tekisei_code,5|00|2,486,486,22.84,66.87,77.31,486,51.65,77.76,84.71,82.05,88.19
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,5|00|2,558,558,19.35,65.0,78.12,558,46.42,81.09,84.19,85.06,89.11
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,5|H|00,498,498,16.87,74.16,68.85,498,44.98,78.05,81.78,85.08,88.56
3,COURSE_27_02_芝_短距離,umakigo_code+ls_shisu_juni+uma_deokure_ritsu,00|4.0|0.0,690,690,6.67,79.68,88.07,690,24.06,97.45,80.62,80.08,84.26
3,KEIBAJO_SURFACE_06_ダ_新馬,kishu_minarai_code+umakigo_code+kyusha_hyoka_code,3|00|3,572,572,6.47,80.19,76.18,572,22.73,86.43,79.37,80.63,83.2
